column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	8000000	8004352	8004352	0.999456	1.000000	0.999456	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	202185	202185	19.783861	1.000000	19.783861	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:305	1000000	138409995	142890010	142890010	0.968647	1.000000	0.968647	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	48714	48714	82.111919	1.000000	82.111919	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	8000000	3389129	3389129	2.360488	1.000000	2.360488	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:121	1000000	4000000	4007617	4007617	0.998099	1.000000	0.998099	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	55159	55159	72.517631	1.000000	72.517631	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	3766371	3766371	1.062030	1.000000	1.062030	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1493209	1493209	2.678794	1.000000	2.678794	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	8000000	4418452	4418452	1.810589	1.000000	1.810589	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	47437	47437	84.322364	1.000000	84.322364	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	853301	853301	4.687678	1.000000	4.687678	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	693358	693358	5.769026	1.000000	5.769026	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:247	1000000	88562192	92663966	92663966	0.955735	1.000000	0.955735	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:235	1000000	79583339	83652794	83652794	0.951353	1.000000	0.951353	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	238331	238331	16.783381	1.000000	16.783381	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1871144	1871144	2.137730	1.000000	2.137730	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1375086	1375086	2.908909	1.000000	2.908909	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1091172	1091172	3.665783	1.000000	3.665783	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	732500	732500	5.460751	1.000000	5.460751	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1293265	1293265	3.092947	1.000000	3.092947	3967065
ResolutionHeight	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	1351569	1351569	2.959523	1.000000	2.959523	3407277
ResolutionDepth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	558714	558714	7.159298	1.000000	7.159298	1994256
FlashMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	406694	406694	9.835405	1.000000	9.835405	1923540
FlashMinor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	529445	529445	7.555081	1.000000	7.555081	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:121	1000000	3354477	7361607	7361607	0.455672	1.000000	0.455672	3354477
NetMajor	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:121	1000000	4000000	163708	163708	24.433748	1.000000	24.433748	1000000
