column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007338	8007338	0.999084	1.000000	0.999084	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	138409995	29404413	29404413	4.707116	1.000000	4.707116	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007344	8007344	0.999083	1.000000	0.999083	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:93	1000000	4000000	58139	58139	68.800633	1.000000	68.800633	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007341	8007341	0.999083	1.000000	0.999083	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	88562192	44344312	44344312	1.997149	1.000000	1.997149	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	79583339	34553120	34553120	2.303217	1.000000	2.303217	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1994256
